text,size	
school-mr,238	
school-students,181	
building-mr,177	
school-shooting,175	
video-mr,173	
sheriff-mr,173	
mr-shooting,173	
peterson-mr,173	
school-sheriff,165	
peterson-radio,165	
students-mr,164	
mr-radio,164	
students-school,158	
building-radio,156	
mr-peterson,151	
school-building,151	
sheriff-radio,146	
mr-school,146	
shooting-mr,144	
video-radio,142	
sheriff-building,141	
peterson-building,139	
peterson-video,138	
peterson-officers,138	
peterson-shooting,137	
mr-building,137	
building-shooting,136	
sheriff-peterson,136	
mr-officers,136	
building-officers,135	
building-video,134	
building-peterson,133	
sheriff-officers,133	
college-mr,131	
mr-police,131	
video-building,130	
students-sheriff,129	
sheriff-shooting,129	
peterson-police,127	
building-police,127	
hogg-college,127	
douglas-school,126	
video-peterson,126	
parkland-mr,125	
students-shooting,124	
sheriff-video,124	
officers-mr,123	
mr-video,122	
school-officers,122	
sheriff-police,118	
video-shooting,118	
sheriff-school,118	
video-officers,116	
school-police,116	
mr-students,115	
school-peterson,114	
school-radio,113	
building-sheriff,113	
mr-college,113	
parkland-school,111	
gunman-mr,110	
douglas-students,109	
high-school,109	
office-mr,109	
college-hogg,107	
parkland-students,106	
building-school,105	
video-police,104	
high-mr,103	
shooting-students,103	
stoneman-school,103	
mr-cruz,102	
shooting-school,102	
people-mr,102	
released-mr,100	
officers-video,100	
movie-mr,100	
peterson-school,100	
school-office,99	
sheriff-gunman,99	
high-students,99	
shooting-radio,98	
building-gunman,98	
fla-mr,97	
officers-radio,96	
deputy-mr,96	
school-video,96	
peterson-gunman,96	
officers-shooting,94	
hogg-mr,94	
douglas-shooting,92	
video-sheriff,92	
gunman-radio,92	
students-march,91	
shooting-building,90	
fla-school,90	
police-mr,89	
school-gunman,89	
peterson-coral,88	
video-gunman,88	
