text,size
shooting,404	
vegan,402	
gun,364	
yesterday,364	
liberals,352	
quiet,347	
pretty,347	
female,342	
control,306	
muslim,296	
libs,277	
education,277	
nmaybe,276	
youtube,247	
shooter,123	
didn,110	
amp,88	
media,82	
ve,77	
hq,77	
realjack,75	
hollywood,73	
damn,72	
promised,71	
nthey,71	
politicize,71	
san,65	
bruno,65	
activist,64	
animal,59	
mentally,57	
foreign,57	
ill,56	
rails,56	
iheartmindy,56	
conservative,54	
ar,53	
cwhite,51	
male,51	
people,50	
facts,49	
youtubeshooter,46	
chrisloesch,46	
california,45	
laws,43	
year,36	
guns,35	
dantdm,33	
killed,33	
give,30	
nof,29	
cure,29	
disease,29	
handgun,29	
nasim,24	
aghdam,24	
talk,24	
make,23	
left,23	
iwillredpillu,22	
understand,22	
legally,22	
mlk,22	
purchased,21	
obama,21	
registered,21	
doesn,21	
attack,21	
nyoutube,21	
stop,20	
crazy,20	
death,20	
bully,20	
niranian,19	
hezbollah,19	
ncame,19	
nprobably,19	
ninsanely,19	
lives,19	
called,18	
woman,18	
won,18	
strictest,17	
time,17	
draconian,17	
white,16	
america,16	
group,16	
greatest,15	
speech,15	
kill,15	
aa,15	
nnotice,15	
family,15	
dem,15	
members,15	
warnings,15	
failed,15	
common,15	
rfk,15	
